"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1120","Проверка невозможности создания 2 одинаковых пользователей - проверка кода и содержимого ответа","","Fri Feb 21 17:43:13 UTC 2025","passed","Fri Feb 21 17:43:14 UTC 2025","","main.User.CreateUserTests","main.User.CreateUserTests","createUsersWithExistingEmail"
"","1050","Создание уникального пользователя - проверка кода и содержимого ответа","","Fri Feb 21 17:43:14 UTC 2025","passed","Fri Feb 21 17:43:15 UTC 2025","","main.User.CreateUserTests","main.User.CreateUserTests","createUser"
"","168","Создание пользователя с пустым e-mail","","Fri Feb 21 17:43:14 UTC 2025","passed","Fri Feb 21 17:43:14 UTC 2025","","main.User.CreateUserTests","main.User.CreateUserTests","shouldNotCreateUserWithEmptyEmail"
"","1194","Вход с некорректными данными","","Fri Feb 21 17:43:04 UTC 2025","passed","Fri Feb 21 17:43:06 UTC 2025","","main.User.AutentUserTests","main.User.AutentUserTests","badAutentUserTests"
"","3860","Создание заказа из 5 ингредиентов - есть  accessToken","","Fri Feb 21 17:42:58 UTC 2025","passed","Fri Feb 21 17:43:02 UTC 2025","","main.Order.OrderTests","main.Order.OrderTests","orderTests"
"","1432","Изменение данных пользователя - пароль пользователя - есть  accessToken","","Fri Feb 21 17:43:11 UTC 2025","passed","Fri Feb 21 17:43:13 UTC 2025","","main.User.ChangeUserTests","main.User.ChangeUserTests","ChangeAutentUserDataPasswordTest"
"","3882","Получение заказов пользователя - нет accessToken","","Fri Feb 21 17:42:52 UTC 2025","passed","Fri Feb 21 17:42:56 UTC 2025","","main.Order.GetOrderTests","main.Order.GetOrderTests","GetOrdersNoAut"
"","166","Создание пользователя с пустым паролем","","Fri Feb 21 17:43:14 UTC 2025","passed","Fri Feb 21 17:43:14 UTC 2025","","main.User.CreateUserTests","main.User.CreateUserTests","shouldNotCreateUserWithEmptyPassword"
"","1505","Изменение данных пользователя - имя пользователя - есть accessToken","","Fri Feb 21 17:43:06 UTC 2025","passed","Fri Feb 21 17:43:07 UTC 2025","","main.User.ChangeUserTests","main.User.ChangeUserTests","ChangeAutentUserDataNameTest"
"","12912","Получение заказов пользователя - есть  accessToken","","Fri Feb 21 17:42:39 UTC 2025","passed","Fri Feb 21 17:42:52 UTC 2025","","main.Order.GetOrderTests","main.Order.GetOrderTests","GetOrders"
"","2557","Изменение данных пользователя - все данные - нет accessToken","","Fri Feb 21 17:43:09 UTC 2025","passed","Fri Feb 21 17:43:11 UTC 2025","","main.User.ChangeUserTests","main.User.ChangeUserTests","ChangeNoAutentUserAllDataTest"
"","1471","Создание заказа без ингредиентов - есть  accessToken","","Fri Feb 21 17:43:02 UTC 2025","passed","Fri Feb 21 17:43:03 UTC 2025","","main.Order.OrderTests","main.Order.OrderTests","orderTestsEmptyBody"
"","1799","Создание заказа с несуществующим ингредиентом - есть  accessToken","","Fri Feb 21 17:42:56 UTC 2025","passed","Fri Feb 21 17:42:58 UTC 2025","","main.Order.OrderTests","main.Order.OrderTests","orderTestsNoCorrectIngredient"
"","170","Создание пользователя с пустым именем","","Fri Feb 21 17:43:14 UTC 2025","passed","Fri Feb 21 17:43:14 UTC 2025","","main.User.CreateUserTests","main.User.CreateUserTests","shouldNotCreateUserWithEmptyName"
"","1725","Изменение данных пользователя - почта - есть accessToken","","Fri Feb 21 17:43:07 UTC 2025","passed","Fri Feb 21 17:43:09 UTC 2025","","main.User.ChangeUserTests","main.User.ChangeUserTests","ChangeAutentUserDataEmailTest"
"","1295","Вход с корректными данными","","Fri Feb 21 17:43:03 UTC 2025","passed","Fri Feb 21 17:43:04 UTC 2025","","main.User.AutentUserTests","main.User.AutentUserTests","autentUserTests"
